dataset,scenario,seed,seed_policy,fold_count,window_size,alphabet_size,paa_segments,fallback_probability,anomaly_threshold,accuracy,precision,recall,f1_score,state_count,transition_density,train_pattern_count,test_pattern_count,unseen_test_pattern_count,unseen_ratio,average_edit_distance
SKAB,original,42,five_seed_repeated,5,4,3,256,1e-06,0.05,0.5484126984126985,0.26704545454545453,0.0380696124618107,0.06503590616481225,26.8,0.055114436802716785,253.0,253.0,11.4,0.04505928853754941,0.0
SKAB,original,123,five_seed_repeated,5,4,3,256,1e-06,0.05,0.5507936507936508,0.36428571428571427,0.04191618871817737,0.0680421584488581,27.6,0.05464091877120729,253.0,253.0,9.2,0.03636363636363636,0.0
SKAB,original,2026,five_seed_repeated,5,4,3,256,1e-06,0.05,0.5452380952380953,0.3117114845938375,0.09086909575034414,0.1267738580232584,26.0,0.05526989837577575,253.0,253.0,18.2,0.07193675889328062,0.0
SKAB,original,7,five_seed_repeated,5,4,3,256,1e-06,0.05,0.5603174603174603,0.34444444444444444,0.045718432510885344,0.079489028689852,25.2,0.05949922465670836,253.0,253.0,13.4,0.05296442687747035,0.0
SKAB,original,999,five_seed_repeated,5,4,3,256,1e-06,0.05,0.5515873015873016,0.21749999999999997,0.026417445482866043,0.04697089471793029,24.0,0.061612687001150426,253.0,253.0,12.4,0.04901185770750988,0.0
SKAB,gaussian_noise,42,five_seed_repeated,5,4,3,256,1e-06,0.05,0.5468253968253969,0.2631993006993007,0.0380696124618107,0.06475618588509198,26.8,0.055114436802716785,253.0,253.0,11.6,0.0458498023715415,0.0
SKAB,gaussian_noise,123,five_seed_repeated,5,4,3,256,1e-06,0.05,0.5515873015873016,0.3647993311036789,0.040029396265347184,0.06564388292800646,27.6,0.05464091877120729,253.0,253.0,9.4,0.03715415019762846,0.0
SKAB,gaussian_noise,2026,five_seed_repeated,5,4,3,256,1e-06,0.05,0.5452380952380953,0.3187039163158566,0.09083349272408692,0.12805507673769714,26.0,0.05526989837577575,253.0,253.0,17.8,0.07035573122529644,0.0
SKAB,gaussian_noise,7,five_seed_repeated,5,4,3,256,1e-06,0.05,0.5619047619047619,0.35444444444444445,0.045718432510885344,0.08005226473695902,25.2,0.05949922465670836,253.0,253.0,14.0,0.05533596837944664,0.0
SKAB,gaussian_noise,999,five_seed_repeated,5,4,3,256,1e-06,0.05,0.5531746031746032,0.2575,0.028322207387627953,0.05060725835429393,24.0,0.061612687001150426,253.0,253.0,11.8,0.0466403162055336,0.0
SKAB,unseen_only,42,five_seed_repeated,5,4,3,256,1e-06,0.05,0.38687978687978686,0.15238095238095237,0.5333333333333333,0.22999999999999998,26.8,0.055114436802716785,253.0,253.0,11.4,0.04523809523809523,1.0
SKAB,unseen_only,123,five_seed_repeated,5,4,3,256,1e-06,0.05,0.28399378399378394,0.10151515151515152,0.325,0.13333333333333333,27.6,0.05464091877120729,253.0,253.0,9.2,0.0365079365079365,0.8
SKAB,unseen_only,2026,five_seed_repeated,5,4,3,256,1e-06,0.05,0.4565913815913816,0.2595238095238095,0.7411764705882353,0.37555555555555553,26.0,0.05526989837577575,253.0,253.0,18.2,0.07222222222222222,1.0
SKAB,unseen_only,7,five_seed_repeated,5,4,3,256,1e-06,0.05,0.43974558050645013,0.2912087912087912,0.480952380952381,0.35738437001594897,25.2,0.05949922465670836,253.0,253.0,13.4,0.05317460317460317,1.0240802675585283
SKAB,unseen_only,999,five_seed_repeated,5,4,3,256,1e-06,0.05,0.43612836438923397,0.17777777777777776,0.55,0.24987012987012988,24.0,0.061612687001150426,253.0,253.0,12.4,0.049206349206349205,1.0211956521739132
BATADAL,gaussian_noise,42,five_seed_repeated,1,4,3,256,1e-06,0.05,0.47619047619047616,0.1171875,0.4411764705882353,0.18518518518518517,64,0.02685546875,253,253,69,0.2727272727272727,0.0
BATADAL,gaussian_noise,123,five_seed_repeated,1,4,3,256,1e-06,0.05,0.4880952380952381,0.12,0.4411764705882353,0.18867924528301888,64,0.02685546875,253,253,67,0.2648221343873518,0.0
BATADAL,gaussian_noise,2026,five_seed_repeated,1,4,3,256,1e-06,0.05,0.47619047619047616,0.1171875,0.4411764705882353,0.18518518518518517,64,0.02685546875,253,253,68,0.26877470355731226,0.0
BATADAL,gaussian_noise,7,five_seed_repeated,1,4,3,256,1e-06,0.05,0.47619047619047616,0.1171875,0.4411764705882353,0.18518518518518517,64,0.02685546875,253,253,69,0.2727272727272727,0.0
BATADAL,gaussian_noise,999,five_seed_repeated,1,4,3,256,1e-06,0.05,0.4523809523809524,0.11194029850746269,0.4411764705882353,0.17857142857142858,64,0.02685546875,253,253,70,0.2766798418972332,0.0
BATADAL,original,N/A,deterministic_time_split,1,4,3,256,1e-06,1e-05,0.4642857142857143,0.11450381679389313,0.4411764705882353,0.18181818181818182,64,0.02685546875,253,253,70,0.2766798418972332,0.0
BATADAL,unseen_only,N/A,deterministic_time_split,1,4,3,256,1e-06,0.05,0.2898550724637681,0.1346153846153846,0.6363636363636364,0.2222222222222222,64,0.02685546875,253,253,69,0.27380952380952384,1.0
