dataset,scenario,window_size,alphabet_size,fallback_probability,anomaly_threshold,state_count,transition_density,train_pattern_count,test_pattern_count,unseen_test_pattern_count,unseen_ratio,train_anomaly_pattern_count,test_anomaly_pattern_count,accuracy,precision,recall,f1_score
BATADAL,original,3,3,1e-06,1e-05,26,0.09467455621301775,254,254,19,0.07480314960629922,16,32,0.6758893280632411,0.109375,0.21875,0.14583333333333334
BATADAL,original,3,4,1e-06,1e-05,54,0.039780521262002745,254,254,38,0.14960629921259844,16,32,0.43478260869565216,0.10071942446043165,0.4375,0.16374269005847952
BATADAL,original,3,5,1e-06,1e-05,81,0.024843773814967232,254,254,116,0.4566929133858268,16,32,0.35177865612648224,0.0975609756097561,0.5,0.16326530612244897
BATADAL,original,3,6,1e-06,1e-05,122,0.013235689330825046,254,254,131,0.515748031496063,16,32,0.2766798418972332,0.10471204188481675,0.625,0.17937219730941703
BATADAL,original,4,3,1e-06,1e-05,64,0.02685546875,253,253,70,0.2766798418972332,18,34,0.4642857142857143,0.11450381679389313,0.4411764705882353,0.18181818181818182
BATADAL,original,4,4,1e-06,1e-05,116,0.012336504161712248,253,253,154,0.6086956521739131,18,34,0.3611111111111111,0.14124293785310735,0.7352941176470589,0.23696682464454977
BATADAL,original,4,5,1e-06,1e-05,163,0.007753396815838007,253,253,209,0.8260869565217391,18,34,0.3333333333333333,0.13186813186813187,0.7058823529411765,0.2222222222222222
BATADAL,original,4,6,1e-06,1e-05,197,0.005926460357133655,253,253,227,0.8972332015810277,18,34,0.28174603174603174,0.14146341463414633,0.8529411764705882,0.24267782426778242
BATADAL,original,5,3,1e-06,1e-05,110,0.013223140495867768,252,252,157,0.623015873015873,20,36,0.41832669322709165,0.14285714285714285,0.6111111111111112,0.23157894736842105
BATADAL,original,5,4,1e-06,1e-05,166,0.007548265350558862,252,252,225,0.8928571428571429,20,36,0.33067729083665337,0.14130434782608695,0.7222222222222222,0.23636363636363636
BATADAL,original,5,5,1e-06,1e-05,206,0.005396361579790744,252,252,245,0.9722222222222222,20,36,0.3187250996015936,0.14659685863874344,0.7777777777777778,0.24669603524229075
BATADAL,original,5,6,1e-06,1e-05,230,0.004574669187145558,252,252,250,0.9920634920634921,20,36,0.30677290836653387,0.14795918367346939,0.8055555555555556,0.25
BATADAL,original,6,3,1e-06,1e-05,160,0.0075390625,251,251,208,0.8286852589641435,22,38,0.316,0.12,0.5526315789473685,0.19718309859154928
BATADAL,original,6,4,1e-06,1e-05,208,0.005385539940828402,251,251,248,0.9880478087649402,22,38,0.308,0.13513513513513514,0.6578947368421053,0.2242152466367713
BATADAL,original,6,5,1e-06,1e-05,229,0.004538433668312961,251,251,251,1.0,22,38,0.328,0.15425531914893617,0.7631578947368421,0.25663716814159293
BATADAL,original,6,6,1e-06,1e-05,242,0.004200532750495185,251,251,251,1.0,22,38,0.288,0.14285714285714285,0.7368421052631579,0.23931623931623933
